电影名称,上映时间,票房（万元）,平均票价,观影人数
捉妖记,2015-07-16 上映,145,24.69853,6
疯狂的外星人,2019-02-05 上映,144,69.866936,69
未知嫌疑人,2020-09-10 上映,141,30.246159,2
麦兜·饭宝奇兵,2016-09-15 上映,140,31.682003,5
铁血阳泉,2019-12-19 上映,139,34.101814,19
尼斯大冒险,2019-12-28 上映,134,27.935255,4
周军的行走,2019-12-26 上映,128,870.038,7
吕建江,2020-11-27 上映,128,32.369225,33
远方有多远,2020-09-18 上映,127,47.670025,28
横财局中局,2019-12-28 上映,127,44.00916,17
差等生乔曦,2019-01-20 上映,126,171.99754,88
看不见的小孩,2019-07-19 上映,126,100.34166,149
小Q,2019-09-20 上映,125,59.703476,101
盛世秧歌,2007-11-19 上映,120,144.24608,108
守望人,2020-01-15 上映,118,32.85907,6
长安道,2019-11-15 上映,118,54.870316,89
利刃出鞘,2019-11-29 上映,118,43.00894,7
你是凶手,2019-11-22 上映,116,66.91616,52
北京爱情故事,2014-02-14 上映,115,29.752779,8
复仇者联盟4：终局之战,2019-04-24 上映,113,73.204124,47
天边加油站,2020-11-16 上映,113,44.721455,21
狐踪谍影,2020-01-10 上映,110,31.33729,2
真假美猴王之大圣无双,2020-12-05 上映,109,35.711845,1
一条狗的使命2,2019-05-17 上映,108,26.360973,8
旦后,2020-10-24 上映,107,55.637535,24
应承,2020-11-26 上映,104,29.974165,13
唐顿庄园,2019-12-13 上映,103,41.05153,8
天下无毒,2020-08-14 上映,102,35.12826,21
日光之下,2020-11-27 上映,102,36.345047,2
36号护卫车,2020-12-04 上映,100,29.584341,24
那人那事,2020-01-11 上映,99,65.56655,4
梅艳芳菲,2020-08-25 上映,96,28.596825,7
野猪,2020-01-10 上映,94,28.806013,1
追梦险途,2020-08-19 上映,92,37.60679,9
漫长的告别,2020-08-28 上映,91,34.86538,3
封口者,2020-12-23 上映,91,28.175205,3
站住！小偷,2020-01-10 上映,90,27.768337,2
坂本龙一：终曲,2019-12-16 上映,89,41.54672,5
超能陆战队,2015-02-28 上映,89,20.504002,3
白狮奇缘,2020-07-31 上映,88,27.5952,1
极寒风暴,2020-09-11 上映,85,30.774788,1
风雨日昇昌,2020-09-29 上映,85,44.461,17
天池水怪,2019-11-29 上映,84,31.498503,13
美丽人生,1970-01-01 上映,82,31.118523,6
一条狗的使命,2017-03-03 上映,82,19.88485,8
扑蝶,2021-02-16 上映,79,33.00384,14
悲伤逆流成河,2018-09-21 上映,77,27.141075,1
碟仙,2019-06-21 上映,77,75.766945,95
一日成交,2020-11-11 上映,76,30.36893,1
半条被子,2020-09-05 上映,74,27.833448,12
初恋这首情歌,2020-08-07 上映,72,32.877407,1
勇敢者游戏2：再战巅峰,2019-12-06 上映,69,38.526073,6
乡村青年,2018-12-13 上映,69,74.8399,54
妈妈不再摇滚,2020-11-26 上映,69,34.847103,9
橙妹儿的时代,2020-11-20 上映,68,43.911884,2
比悲伤更悲伤的故事,2019-03-14 上映,68,66.971245,50
大傩·董春女,2020-12-04 上映,68,38.15952,10
朝颜,2020-09-22 上映,68,38.03871,9
碧血锦衣卫,2019-11-14 上映,67,62.738285,83
坚守1200秒,2020-09-17 上映,67,35.04372,27
十二生肖,2012-12-20 上映,66,23.918432,6
银河补习班,2019-07-18 上映,66,64.77078,48
两只老虎,2019-11-29 上映,65,54.992863,10
郭富山,2023-02-28 上映,65,27.304276,45
无线信号,2020-08-14 上映,63,30.436516,18
狼图腾,2015-02-19 上映,61,24.341774,8
大闹天宫,2012-01-11 上映,59,10.637363,22
龙牌之谜,2019-08-16 上映,59,82.589615,98
爱情呼叫等待,2020-11-11 上映,58,27.354908,3
决胜时刻,2019-09-20 上映,58,53.95609,41
小破孩大状元,2020-12-31 上映,56,29.682571,36
黄花塘往事,2019-11-08 上映,54,69.9372,80
红星照耀中国,2019-08-08 上映,54,91.04163,98
动物出击,2019-04-30 上映,52,85.56941,124
迷失的心,2020-09-24 上映,51,34.295044,11
活着唱着,2020-08-28 上映,50,25.747953,6
胡柚娃,2020-08-21 上映,49,29.9362,15
致命复活,2020-07-31 上映,49,26.929375,2
以寡敌众,2020-10-16 上映,47,33.691673,1
反贪风暴4,2019-04-04 上映,47,73.60241,61
再见，陌生人,2020-08-18 上映,45,28.940853,7
极限父子,2020-08-11 上映,45,30.710943,25
古窑迷踪,2019-12-27 上映,43,27.101461,2
南方车站的聚会,2019-12-06 上映,42,50.404247,4
带你归家,2020-08-10 上映,41,36.24436,21
神探罗蒙,2020-12-18 上映,41,45.464817,28
速度与激情：特别行动,2019-08-23 上映,40,71.59422,40
光语者,2020-12-21 上映,37,34.61129,1
新喜剧之王,2019-02-05 上映,37,58.087315,43
