电影名称,上映时间,票房（万元）,平均票价,观影人数
山河故人,2015-10-30 上映,10,28.066284,10
草台班子：套路奇兵,2023-04-03 上映,9,27.3492,8
生命的感叹号,2023-05-04 上映,9,22.248373,112
高铁作证,2021-12-21 上映,9,37.18894,13
色彩中国,2023-05-19 上映,9,31.155746,3
追光万里,2022-09-09 上映,8,31.800951,29
我的青春岁月,2023-05-26 上映,8,32.865692,0
大爱撑天,2023-03-10 上映,8,27.348549,4
印度制造,2023-03-31 上映,8,30.883917,1
单声,2021-12-17 上映,8,20,29
超萌时空宝贝,2023-04-29 上映,8,16.58135,1
2022金鸡国际（港澳台）影展,1970-01-01 上映,8,61.417343,65
亭亭如盖,2023-04-15 上映,8,27.030058,5
达荷美女战士,2023-04-14 上映,8,33.173073,0
街娃儿,2023-06-16 上映,7,49.503403,1
万影影业2022金鸡香港影展,1970-01-01 上映,7,62.422546,31
我要去远方,2018-10-16 上映,7,14.592897,17
远山花开,2023-06-09 上映,7,24.991287,1
谁偷了我的粉兔子,2022-12-16 上映,7,37.072777,1
如果有一天我将会离开你,2022-03-11 上映,7,27.62677,14
冒牌车王,2022-11-18 上映,7,28.319021,22
梦想森林,2023-04-01 上映,6,32.793633,1
大人父母官,2023-02-27 上映,6,25.524744,29
太阳的颜色,2009-12-05 上映,6,20,18
力量密码,2023-07-01 上映,5,31.800133,38
相爱相亲,2017-11-03 上映,5,33.07141,5
龙马！新生网球王子,2022-12-23 上映,5,34.630764,0
遥远的牧驼人,2023-05-12 上映,5,40,60
郭富山,2023-02-28 上映,5,21.622,19
向日葵中队,2023-05-20 上映,5,27.147615,56
2022香港电影经典主题展,1970-01-01 上映,5,62.037086,47
宇宙锋,1954-02-01 上映,5,20,21
别叫我“赌神”,2023-06-21 上映,5,36.78733,0
辽宁百丽宫2022英国舞台影像展,1970-01-01 上映,5,91.455826,25
命中注定与你为敌,2023-06-16 上映,4,35.43,0
因为有了你,2022-08-20 上映,4,30,25
横山游击队,2023-04-21 上映,4,42.854088,7
诗巫风云,2022-11-25 上映,4,27.266054,35
李明瑞,2023-05-27 上映,4,25.513916,41
变身攻略,2022-12-24 上映,4,37.9404,2
关于我妈的一切,2021-09-19 上映,4,32.670834,6
2022年德国导演维姆·文德斯电影作品展映,1970-01-01 上映,4,49.809708,36
哆啦A梦：大雄的宇宙小战争 2021,2022-05-28 上映,4,25.06281,6
黄河入海流,1970-01-01 上映,4,30,88
画布上的起跑线,2023-06-01 上映,4,24.056376,8
邓小平小道,2022-04-22 上映,4,36.68795,6
书记日记,2023-02-17 上映,3,25.337936,28
鱼龙勇士,2013-04-12 上映,3,30,16
环海战记,2023-02-14 上映,3,31.076376,1
2022阿根廷经典修复电影展,1970-01-01 上映,3,68.95679,35
决不姑息,2015-07-09 上映,3,40,18
难忘的岁月,2016-06-16 上映,3,33.51658,30
妈妈，我不想坐牢,2023-01-17 上映,3,28.531338,25
秘密拼图,2023-05-08 上映,3,39.16408,23
我的初恋十八岁,2021-11-11 上映,3,33.72286,0
云雀,2023-05-26 上映,3,30.67688,0
守鸟人,1970-01-01 上映,2,63.481014,59
纵横四海,1970-01-01 上映,1,64.15579,114
胭脂扣,1970-01-01 上映,1,64.37076,113
英雄本色,2017-11-17 上映,1,64.12373,101
倩女幽魂,2011-04-30 上映,1,64.3595,99
