电影名称,上映时间,票房（万元）,平均票价,观影人数
新灰姑娘2,2022-10-01 上映,3161,33.94857,3
误杀瞒天记,2022-04-15 上映,3149,32.036926,3
跨过鸭绿江,2021-12-17 上映,3131,33.116646,11
你是我的春天,2022-07-01 上映,3064,36.409603,3
猪猪侠大电影·海洋日记,2022-08-06 上映,2940,32.752083,4
狼群,2022-09-09 上映,2868,37.2916,2
迷你世界之觉醒,2022-07-30 上映,2715,32.1169,5
坠落,2022-11-18 上映,2618,36.31182,2
带你去见我妈,2022-01-07 上映,2374,34.081554,8
小虎墩大英雄,2022-02-01 上映,2220,49.156563,6
一直一直都很喜欢你,2022-07-22 上映,2199,35.86567,3
邓小平小道,2022-04-22 上映,2184,35.2533,10
搜救,2022-10-03 上映,1999,37.100353,1
最初的梦想,2022-01-07 上映,1912,33.463192,4
小马宝莉：新世代,2022-07-30 上映,1721,31.280937,5
东北虎,2022-01-14 上映,1692,34.822388,2
开心超人之英雄的心,2022-07-22 上映,1656,31.767921,3
遇见你之后,2022-06-03 上映,1653,33.272026,2
我们的样子像极了爱情,2022-08-04 上映,1616,36.91348,6
可不可以你也刚好喜欢我,2022-03-11 上映,1604,30.881384,2
亡命救护车,2022-04-22 上映,1584,34.339058,1
七人乐队,2022-07-29 上映,1565,44.144783,6
青蛙王国-极限运动,2022-09-10 上映,1500,42.368076,3
雀斑公主,2022-08-26 上映,1429,31.883799,2
唐顿庄园2,2022-05-20 上映,1296,34.785297,2
纽约的一个雨天,2022-02-25 上映,1270,38.421352,2
疯了！桂宝之三星夺宝,2022-07-29 上映,1265,35.004333,4
猎屠,2022-08-12 上映,1256,35.49392,3
九妹,2022-01-09 上映,1178,36.44134,8
天才计划,2022-06-10 上映,1155,32.797382,2
三湾改编,2021-07-19 上映,1032,27.603613,57
冲出地球,2022-07-16 上映,1001,35.04898,2
致我的陌生恋人,2022-04-14 上映,912,32.994995,2
沼泽深处的女孩,2022-11-25 上映,784,34.65581,1
世界上最爱我的人,2022-08-26 上映,764,36.12654,2
扬名立万,2021-11-11 上映,726,37.923553,6
放牛班的春天,2004-10-16 上映,717,35.068813,1
忠犬帕尔玛,2022-08-26 上映,691,31.455156,2
花儿为什么这样红,2022-03-18 上映,691,40.107605,12
穿靴子的猫2,2022-12-23 上映,668,36.872757,2
五个扑水的少年,2021-10-01 上映,644,32.598248,1
我心飞扬,2022-02-25 上映,633,35.975945,1
漫长的告白,2022-08-12 上映,633,39.30418,3
我的非凡父母,2022-09-02 上映,618,36.43954,1
突破口,2021-12-17 上映,595,57.31449,70
你是我的一束光,2022-02-25 上映,582,34.035812,1
异兽,2022-05-20 上映,574,29.804762,2
那时的你,2021-12-24 上映,554,46.609787,15
浴血誓言,2022-02-28 上映,543,39.789516,25
疯狂熊孩子2,2021-12-28 上映,538,32.833008,13
卧鼠藏虫,2022-03-25 上映,532,35.10496,1
我要和你在一起,2022-09-16 上映,528,36.777348,1
独家头条,2022-01-07 上映,505,58.86403,7
下一站：幸福,2022-09-09 上映,503,46.39046,64
魔法精灵,2022-01-01 上映,498,33.744194,4
永不妥协,2022-08-12 上映,451,37.051815,6
云霄之上,2022-06-17 上映,445,36.69392,7
夺命黄金,2022-04-30 上映,438,30.47728,27
如果有一天我将会离开你,2022-03-11 上映,432,38.34465,1
大白鲨之夺命鲨口,2022-08-26 上映,403,30.08668,2
出拳吧，妈妈,2022-04-30 上映,399,35.753036,1
忍者神龟：崛起,2022-11-19 上映,389,30.72932,1
我的父亲焦裕禄,2021-08-06 上映,380,40.680027,45
牧蜂姑娘,2021-12-28 上映,376,41.773872,58
巨星嫁到,2022-05-13 上映,375,32.04629,1
猫狗武林,2022-11-12 上映,366,31.918165,1
青蛙王子历险记2,2022-11-12 上映,355,30.666492,1
珠峰队长,2022-07-02 上映,347,32.09687,3
印度女孩,2022-03-18 上映,347,32.533928,2
柳浪闻莺,2022-03-05 上映,341,38.821938,1
密案1922,2022-02-18 上映,334,32.466213,2
屋内有人,2022-01-07 上映,328,31.844788,2
苍穹,1970-01-01 上映,324,40,108
760号犯人,2022-08-23 上映,318,37.811943,2
杀掉那个魔术师,2022-11-19 上映,303,33.73118,1
长津湖,2021-09-30 上映,292,32.514244,4
致命记忆之花开双生,2022-08-12 上映,290,34.46898,2
追光万里,2022-09-09 上映,276,35.036213,12
只属于我们的一天,2022-02-22 上映,272,35.26346,1
乘客,2022-03-18 上映,254,37.023724,19
迷失之城,2022-07-29 上映,248,33.46119,1
彩虹之上,2022-07-28 上映,242,36.038345,7
镜世界,2022-06-10 上映,231,31.388393,1
小美人鱼的奇幻冒险,2021-04-17 上映,227,28.325895,2
乡土,2022-08-19 上映,226,37.96366,21
一江春水,2022-01-07 上映,223,44.465473,8
穿越硝烟的歌声,2015-08-20 上映,223,33.84213,54
奇情快车,2021-11-28 上映,220,35.244316,117
高铁作证,2021-12-21 上映,211,30.910809,35
个十百千万,2022-11-18 上映,204,34.12334,2
迷途重生,2022-06-24 上映,191,31.366837,1
草原大作战,2022-04-03 上映,190,28.821743,2
纹身,2022-01-14 上映,186,42.117588,2
大地颂歌,2021-03-26 上映,186,36.098377,70
勃沙特的长征,2016-10-26 上映,179,31.683857,46
我的嘟卡弟弟,2021-06-01 上映,174,43.382824,19
向着明亮那方,2022-01-15 上映,170,36.19214,2
冰上时刻,2022-01-07 上映,167,32.39129,7
闪耀的星空,2021-12-04 上映,164,35.038857,11
广东省迎接党的二十大优秀影片展映,1970-01-01 上映,162,30.879492,53
错乱空间,2022-03-25 上映,162,32.15559,1
因爱而伟大,2022-11-25 上映,160,47.846992,8
陈真,2022-06-15 上映,160,32.72799,12
诺亚方舟漂流记2,2022-04-08 上映,160,30.834555,1
笨鸟大冒险,2021-12-04 上映,156,29.160057,2
唬胆特工,2022-12-23 上映,153,33.662403,2
盒子的秘密,2022-05-27 上映,153,43.277096,6
侏罗纪大乐园,2022-07-15 上映,145,26.39753,2
龙女孩,2022-07-15 上映,142,34.36981,1
迷失1231,2022-04-15 上映,139,31.681435,1
天之书,2022-11-12 上映,138,35.472355,1
迷你特工队之拯救恐龙王,2021-11-27 上映,132,31.586199,6
人间世,2022-08-19 上映,130,33.470917,2
白蛇传·情,2021-05-20 上映,130,34.94527,5
陪你在全世界长大,2022-11-11 上映,130,36.888096,1
悬崖之上,2021-04-30 上映,129,26.740955,2
我的体育老师,2022-01-07 上映,129,30.804707,7
西游记之七十二变,2022-12-30 上映,129,32.261032,2
临时乘客,2022-09-14 上映,128,32.253887,13
来处是归途,2022-01-14 上映,126,31.345,9
芭比公主历险记,2022-01-21 上映,122,31.972853,2
叫我郑先生,2022-11-11 上映,118,37.16485,0
绿茵之外,2022-06-17 上映,118,40.396854,8
大国粮仓,2022-03-04 上映,115,29.641619,2
青春正好,2022-11-25 上映,114,112.96212,12
红光,2022-07-05 上映,114,31.600134,5
农民院士,2022-01-09 上映,112,35.63677,3
地火,2022-07-01 上映,106,25.01395,9
丹顶鹤,2022-11-04 上映,105,156.32986,3
2022年德国导演维姆·文德斯电影作品展映,1970-01-01 上映,103,72.55913,119
焚情,2022-06-18 上映,102,26.549324,1
何以飞翔,2021-09-10 上映,102,44.242798,8
不一样的九零后,2022-11-20 上映,100,41.474308,62
浏阳河上,2022-01-13 上映,100,33.496788,34
年少有你,2022-03-18 上映,98,30.981821,1
魔法鼠乐园,2021-01-23 上映,95,28.147198,1
最后58天,2022-07-15 上映,93,36.04133,5
妖怪手表：永远的朋友,2022-03-12 上映,83,30.9694,1
伊朗电影展映,1970-01-01 上映,82,79.5861,154
光影湾区·香江风华-庆祝香港回归祖国25周年香港电影展映,1970-01-01 上映,82,53.903633,35
浴血大别山,2022-01-08 上映,81,30.75564,6
古董局中局,2021-12-03 上映,81,39.576195,3
朝华,2021-10-20 上映,80,33.94983,10
只要你过得比我好,2021-12-03 上映,79,30.605028,1
1921,2021-07-01 上映,79,25.335234,2
2067,2022-12-02 上映,76,32.680473,1
难忘的岁月,2016-06-16 上映,76,30.679417,39
新灰姑娘,2018-10-01 上映,76,35.547096,4
花滑女王2：爸爸我爱你,2022-01-14 上映,75,32.819016,1
我们是第一书记,2021-12-03 上映,74,27.017738,23
团圆饭之小小少年,2021-10-25 上映,74,32.393887,76
药·不要,2022-07-22 上映,74,31.426445,9
钟馗伏妖,2022-03-18 上映,73,32.12896,1
九兰,2022-09-16 上映,72,36.418606,12
红辣椒,2021-12-10 上映,71,31.951126,30
鼠辈之名,2021-08-20 上映,71,80,174
七月的舞步,2021-11-26 上映,69,33.800922,15
野夏天,2022-03-25 上映,66,35.89256,1
红海行动,2018-02-16 上映,65,26.490345,1
不要再见啊，鱼花塘,2022-11-25 上映,65,40.517918,4
爱情的代驾,2022-08-26 上映,64,36.8469,1
阿里巴巴与神灯,2020-09-05 上映,61,26.367546,1
2022年德国电影大师展（上海）,2022-11-11 上映,59,72.8156,628
长空之王,2023-04-28 上映,58,1919.6732,0
潜艇总动员：外星宝贝计划,2019-06-01 上映,56,38.675888,39
读心者之深海,2022-03-11 上映,55,29.946785,1
红船,2021-07-09 上映,55,29.209509,25
